City,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Pittsburg,277.04,12.85,63.66,4.53,4.87,6.47,64
Savannah,226.97,5.66,60.8,2.5,2.57,4.99,55
Medford,323.77,10.88,72.96,4.29,16.11,18.87,93
North Richland Hills,303.75,9.77,43.63,0.63,18.29,20.5,55
Skokie,257.02,7.54,65.8,3.87,1.0,1.86,71
Missouri City,403.88,19.36,37.55,2.03,12.0,14.97,38
Miramar,210.29,1.86,79.39,0.4,3.12,7.89,110
Cincinnati,260.35,11.31,54.36,7.57,5.48,5.95,46
Union City,417.23,45.24,5.68,2.44,11.22,15.18,56
West Jordan,640.87,57.58,8.05,5.36,17.59,24.25,71
Evansville,253.68,3.77,55.08,1.12,8.06,8.41,46
Billings,263.69,5.66,52.21,0.22,5.72,12.0,44
The Woodlands,263.69,3.38,52.21,0.47,10.1,11.24,44
Town 'n' Country,230.31,2.91,73.67,0.93,3.21,5.48,95
Lawton,243.66,2.16,45.78,0.13,11.81,12.38,38
Rochester Hills,263.69,5.01,62.94,0.53,5.39,5.79,62
Longmont,297.07,10.97,33.26,0.17,3.24,5.74,28
Suffolk,236.99,3.86,84.4,0.63,2.01,7.84,123
Colorado Springs,195.27,1.03,57.94,0.09,1.5,3.48,49
Carson,1148.22,64.43,1.88,7.75,40.18,57.19,99
Lewisville,363.83,27.76,26.46,2.92,14.67,17.4,47
Portsmouth,230.31,15.42,50.07,2.59,0.97,1.37,42
Pasadena,387.19,33.59,11.98,1.62,7.61,16.66,41
Santa Maria,574.11,5.31,11.09,0.56,8.57,9.04,27
Lehigh Acres,208.62,1.16,82.97,0.28,2.79,8.1,119
Town 'n' Country,230.31,2.91,73.67,0.93,3.21,5.48,95
Chino,317.1,23.65,35.76,1.83,7.16,10.77,30
Mount Pleasant,220.3,4.54,37.19,3.76,4.24,5.1,31
Suffolk,236.99,3.86,84.4,0.63,2.01,7.84,123
Santa Barbara,226.97,3.0,60.08,1.18,3.14,3.95,53
Iowa City,250.34,2.96,60.8,0.56,0.58,0.83,55
Saint Petersburg,660.9,48.67,0.01,91.55,11.95,16.44,76
Schaumburg,243.66,2.51,69.38,0.45,0.61,1.17,82
Manteca,373.84,8.82,0.15,0.31,6.46,7.59,20
Birmingham,243.66,20.56,52.21,5.66,1.4,2.05,44
Spokane Valley,554.09,35.99,5.81,0.79,15.39,18.99,49
Aurora,250.34,2.96,66.52,0.57,1.27,1.86,73
Rockville,323.77,16.11,52.21,3.01,6.86,12.25,44
Roswell,247.0,2.55,65.8,0.24,3.41,7.33,71
Knoxville,337.12,18.17,32.19,1.85,7.13,11.21,27
San Marcos,250.34,5.4,61.51,1.45,17.15,18.36,57
Vallejo,280.38,8.23,36.48,0.25,4.45,5.39,30
San Francisco,447.27,45.24,5.45,5.96,12.12,14.35,56
Muncie,267.03,9.34,53.64,1.55,5.68,6.09,45
Mesquite,277.04,9.6,40.41,1.18,9.05,11.28,34
Rio Rancho,201.94,1.32,32.19,0.08,2.93,15.17,27
Chula Vista,640.87,33.59,3.8,2.27,13.43,19.93,43
Omaha,257.02,3.43,60.08,1.09,1.28,1.66,53
Lexington-Fayette  county,243.66,2.61,65.8,0.56,3.64,4.36,71
Yakima,380.52,18.68,19.31,0.08,9.63,11.29,31
Wichita Falls,273.71,3.73,40.77,0.08,13.6,14.36,44
Huntsville,267.03,3.81,52.21,1.42,7.05,11.44,44
Chino,317.1,23.65,35.76,1.83,7.16,10.77,30
Beaverton,390.53,21.25,2.86,1.54,12.79,16.74,41
Wilmington,303.75,8.48,63.66,2.53,6.65,10.93,64
El Cajon,410.56,21.25,7.87,1.16,6.0,9.38,26
Union City,417.23,45.24,5.68,2.44,11.22,15.18,56
Flagstaff,226.97,5.48,28.61,0.02,0.91,1.48,24
Saint George,263.69,0.68,40.05,0.86,3.07,7.54,33
Yakima,380.52,18.68,19.31,0.08,9.63,11.29,31
Cedar Rapids,250.34,2.44,60.8,0.35,0.59,0.83,55
Framingham,297.07,9.34,77.25,4.17,13.36,15.82,105
Cape Coral,216.96,2.04,82.97,0.37,3.0,8.53,119
Lee's Summit,260.35,5.57,62.23,3.34,1.56,2.0,60
Oklahoma City,263.69,5.66,42.56,0.95,7.85,8.56,36
McAllen,387.19,10.97,50.07,4.77,20.33,23.52,59
Madison,240.33,2.27,63.66,1.57,0.5,0.85,64
Odessa,250.34,5.36,57.94,3.28,1.14,1.37,49
Toledo,317.1,18.51,17.17,0.19,7.13,10.4,23
Asheville,247.0,5.06,71.53,4.77,4.71,8.14,89
North Little Rock,236.99,3.77,49.35,0.8,5.74,6.62,41
Spokane,427.25,15.08,15.91,0.55,9.38,10.18,30
Fresno,413.9,16.45,0.84,0.81,6.04,8.77,20
Racine,257.02,6.77,66.52,2.53,0.81,1.49,73
Fullerton,594.14,33.93,3.71,2.62,17.04,22.87,53
Carrollton,370.5,24.33,31.11,3.01,16.54,19.7,52
Lafayette,290.39,12.68,30.04,2.95,16.04,19.61,51
Gresham,674.25,35.3,0.05,2.47,15.54,19.23,50
Norwalk,487.33,44.55,41.84,10.97,19.58,27.63,58
Omaha,257.02,3.43,60.08,1.09,1.28,1.66,53
Roswell,247.0,2.55,65.8,0.24,3.41,7.33,71
Menifee,327.11,16.11,32.9,0.65,9.07,11.98,29
Yorba Linda,594.14,33.93,3.71,2.62,17.04,22.87,53
Livermore,363.83,19.54,4.96,0.32,9.05,10.81,29
Edmond,250.34,3.94,47.21,1.67,8.0,8.63,40
Saint Charles,257.02,3.94,55.79,0.92,7.97,8.73,47
Erie,257.02,5.91,73.67,0.84,5.04,5.18,95
Hesperia,367.17,16.28,29.33,0.47,8.65,21.38,28
Baltimore,337.12,20.39,54.36,3.61,7.46,13.26,46
O'Fallon,257.02,3.38,55.79,0.77,8.39,9.33,47
Whittier,947.95,44.55,1.65,4.95,26.92,37.83,73
College Station,240.33,2.19,56.51,0.73,7.16,7.65,47
Layton,367.17,27.08,11.27,0.35,10.26,13.05,33
Abilene,240.33,1.82,50.78,0.16,5.04,10.81,43
Muncie,267.03,9.34,53.64,1.55,5.68,6.09,45
Roseville,310.42,13.54,3.49,0.17,2.89,7.43,16
Toledo,317.1,18.51,17.17,0.19,7.13,10.4,23
Medford,323.77,10.88,72.96,4.29,16.11,18.87,93
Gilbert,494.0,25.02,11.62,0.95,8.83,15.36,31
Cleveland,283.72,10.28,62.23,1.73,6.57,6.93,60
Spokane Valley,554.09,35.99,5.81,0.79,15.39,18.99,49
Waco,283.72,5.44,51.5,1.71,20.18,21.34,59
Tempe,540.73,27.76,10.91,1.49,13.01,18.84,42
Concord,420.57,26.05,60.8,6.26,24.95,27.72,69
Ames,243.66,9.68,52.21,0.97,1.81,3.96,44
Canton,233.65,2.42,52.21,1.52,6.29,6.9,44
Pittsburgh,277.04,12.85,63.66,4.53,4.87,6.47,64
Rancho Cucamonga,380.52,35.64,28.61,3.87,12.86,16.99,44
Fort Wayne,257.02,4.54,60.08,1.09,6.66,6.94,53
Sunnyvale,473.98,40.1,0.81,1.51,10.24,13.44,50
North Charleston,223.64,2.74,73.67,5.66,2.08,2.99,95
Lake Forest,243.66,3.0,69.38,0.29,0.5,1.04,82
Riverview,260.35,1.84,68.67,0.6,3.42,3.66,80
San Clemente,213.62,0.76,68.67,0.05,3.89,4.23,80
Plantation,203.61,0.85,81.54,0.21,2.82,7.08,116
Olathe,250.34,3.3,65.09,0.47,1.28,1.83,69
San Mateo,487.33,37.36,0.18,1.77,11.33,16.68,46
Newport Beach,907.9,48.67,2.55,3.28,33.06,40.78,85
Lubbock,240.33,2.83,60.08,0.93,7.51,17.84,53
Pearland,460.63,22.96,32.9,2.68,14.32,18.61,46
Roseville,310.42,13.54,3.49,0.17,2.89,7.43,16
Bryan,240.33,2.38,55.08,0.4,6.65,7.19,46
Alhambra,387.19,33.59,11.98,1.62,7.61,16.66,41
Virginia Beach,233.65,2.79,82.97,0.69,2.39,8.42,119
Edmond,250.34,3.94,47.21,1.67,8.0,8.63,40
Tucson,427.25,16.62,28.61,1.01,12.23,27.21,39
Renton,741.01,45.24,0.06,4.77,21.12,27.9,61
Lawrence,247.0,2.38,66.52,2.59,1.44,1.75,73
Grand Rapids,247.0,1.63,65.09,0.12,0.84,0.97,69
Layton,367.17,27.08,11.27,0.35,10.26,13.05,33
Miami,257.02,9.68,80.82,2.65,3.95,9.33,114
Bethlehem,233.65,34.62,55.08,8.58,12.77,27.34,46
Spokane Valley,554.09,35.99,5.81,0.79,15.39,18.99,49
Orlando,226.97,5.91,81.54,0.75,1.65,2.67,116
Rancho Cucamonga,380.52,35.64,28.61,3.87,12.86,16.99,44
Upland,317.1,23.65,35.76,1.83,7.16,10.77,30
Sacramento,347.14,10.28,2.26,0.31,6.1,6.9,19
Vancouver,333.79,16.97,34.69,2.35,1.65,7.68,29
Lansing,263.69,4.2,60.8,0.27,5.45,5.6,55
Washington,323.77,15.42,52.93,3.07,6.66,12.38,44
Rancho Cordova,574.11,23.31,0.32,1.06,11.81,16.82,38
Providence,270.37,4.37,82.97,2.89,12.61,15.41,119
South Jordan,640.87,45.24,7.33,3.43,22.37,27.84,63
Torrance,1148.22,64.43,1.88,7.75,40.18,57.19,99
Trenton,363.83,24.68,55.08,6.32,9.21,14.07,46
Pleasanton,420.57,25.36,3.09,0.48,11.3,13.12,36
Southfield,267.03,6.6,61.51,0.78,5.48,5.88,57
San Angelo,243.66,1.44,47.21,0.11,10.02,26.18,40
Flint,273.71,5.44,58.65,0.47,5.66,5.9,49
Chino,317.1,23.65,35.76,1.83,7.16,10.77,30
Deerfield Beach,216.96,4.71,85.12,0.84,3.09,7.82,125
Arlington Heights,250.34,4.16,67.95,0.54,0.8,1.48,77
Sterling Heights,280.38,9.94,59.37,1.18,5.79,6.42,51
New Rochelle,627.52,61.01,22.35,18.36,25.29,36.0,76
Deltona,213.62,1.21,82.97,0.14,1.3,2.2,119
Springfield,270.37,3.26,52.93,4.23,6.65,8.48,44
Bellingham,487.33,27.76,1.1,1.36,6.95,8.51,34
Lakewood,357.15,19.71,28.61,0.22,4.34,9.85,24
Kansas City,253.68,4.28,62.94,1.22,1.19,1.63,62
Saint Joseph,233.65,7.2,72.96,2.21,1.27,3.87,93
Fort Wayne,257.02,4.54,60.08,1.09,6.66,6.94,53
Manteca,373.84,8.82,0.15,0.31,6.46,7.59,20
Surprise,223.64,3.56,24.32,0.03,0.75,4.93,20
Charleston,233.65,3.77,76.53,5.9,2.3,3.35,103
Wichita,257.02,2.74,63.66,0.76,3.4,4.91,64
Flower Mound,343.8,17.65,33.26,1.48,16.71,18.96,52
Arlington,337.12,14.4,42.56,1.97,19.52,21.82,58
Bloomington,247.0,4.54,56.51,1.61,6.98,7.52,47
Springfield,270.37,3.26,52.93,4.23,6.65,8.48,44
Norman,330.45,13.88,33.26,1.34,9.57,10.55,31
Little Rock,236.99,3.77,49.35,0.8,5.74,6.62,41
Newport News,327.11,21.25,60.08,2.33,4.7,10.62,53
Jersey City,413.9,33.24,40.41,8.58,12.23,19.46,41
Brandon,216.96,1.25,72.96,0.13,0.5,0.6,93
Largo,240.33,3.94,76.53,1.51,3.54,5.98,103
Costa Mesa,907.9,48.67,2.55,3.28,33.06,40.78,85
Compton,1148.22,64.43,1.88,7.75,40.18,57.19,99
North Richland Hills,303.75,9.77,43.63,0.63,18.29,20.5,55
Escondido,317.1,12.51,14.48,0.34,5.0,6.93,16
Temecula,313.76,12.17,25.03,0.38,7.37,9.65,23
Independence,253.68,4.28,62.94,1.22,1.19,1.63,62
Greenville,236.99,2.06,80.82,1.1,3.56,7.69,114
Albany,413.9,18.17,47.92,6.91,22.42,25.69,64
Santa Fe,216.96,3.21,43.27,0.54,3.45,7.26,36
Baton Rouge,263.69,7.37,30.76,2.38,6.65,8.41,26
Sandy Springs,303.75,11.14,49.35,1.91,5.43,10.55,41
Raleigh,307.08,11.48,51.5,1.34,5.1,10.13,43
Montgomery,293.73,9.51,29.68,4.29,7.18,10.94,25
Meridian,240.33,3.38,37.19,0.31,4.42,6.17,31
Murfreesboro,257.02,3.47,58.65,0.75,5.61,7.39,49
Greenville,236.99,2.06,80.82,1.1,3.56,7.69,114
Whittier,947.95,44.55,1.65,4.95,26.92,37.83,73
Apple Valley,293.73,7.71,48.64,1.0,2.35,3.34,41
The Villages,223.64,2.27,77.96,2.12,3.3,5.66,107
West Valley City,640.87,57.58,8.05,5.36,17.59,24.25,71
Cape Coral,216.96,2.04,82.97,0.37,3.0,8.53,119
Frisco,363.83,27.76,26.46,2.92,14.67,17.4,47
Delray Beach,216.96,6.68,80.82,0.97,2.88,7.01,114
Medford,323.77,10.88,72.96,4.29,16.11,18.87,93
Columbia,233.65,1.56,67.23,0.12,2.44,6.73,75
Spring Valley,403.88,19.36,37.55,2.03,12.0,14.97,38
Enterprise,233.65,1.46,49.35,0.17,3.22,5.73,41
Citrus Heights,310.42,13.54,3.49,0.17,2.89,7.43,16
Santa Barbara,226.97,3.0,60.08,1.18,3.14,3.95,53
Chula Vista,640.87,33.59,3.8,2.27,13.43,19.93,43
Santa Ana,907.9,48.67,2.55,3.28,33.06,40.78,85
McKinney,377.18,30.16,22.71,4.47,13.68,16.51,44
Elgin,236.99,2.21,68.67,0.47,0.5,0.89,80
Atlanta,343.8,18.17,41.13,4.17,6.46,12.4,34
Johnson City,263.69,4.54,60.08,0.48,5.12,9.41,53
Wyoming,247.0,1.63,65.09,0.12,0.84,0.97,69
Bridgeport,487.33,47.3,41.49,11.33,20.14,29.43,59
Hampton,303.75,12.34,62.23,1.12,4.38,10.01,60
Tracy,300.41,17.14,3.98,0.55,4.62,7.7,21
Youngs,267.03,5.23,68.67,2.12,6.05,12.1,80
Plantation,203.61,0.85,81.54,0.21,2.82,7.08,116
Carlsbad,357.15,11.48,6.26,0.37,8.54,11.92,27
Clifton,363.83,25.02,49.35,5.31,11.17,17.83,41
Orem,453.95,25.02,11.0,1.19,12.8,17.1,41
Brandon,216.96,1.25,72.96,0.13,0.5,0.6,93
Lexington-Fayette  county,243.66,2.61,65.8,0.56,3.64,4.36,71
Stamford,487.33,44.55,41.84,10.97,19.58,27.63,58
Glendale,600.82,47.3,3.93,3.4,17.58,33.98,59
Santa Fe,216.96,3.21,43.27,0.54,3.45,7.26,36
Jacksonville,223.64,2.23,77.96,0.51,1.89,3.88,107
Miami,257.02,9.68,80.82,2.65,3.95,9.33,114
Sandy Springs,303.75,11.14,49.35,1.91,5.43,10.55,41
Edmond,250.34,3.94,47.21,1.67,8.0,8.63,40
Nashua,330.45,17.48,72.24,6.68,15.24,18.04,91
Rialto,353.81,27.08,33.98,4.29,8.02,10.56,33
Metairie,330.45,16.11,27.18,2.62,6.05,8.12,23
Fort Lauderdale,233.65,6.6,82.25,1.82,3.79,9.11,118
Boca Raton,216.96,4.71,85.12,0.84,3.09,7.82,125
Rancho Cordova,574.11,23.31,0.32,1.06,11.81,16.82,38
Saint Louis,250.34,4.16,55.79,0.9,7.14,7.88,47
Raleigh,307.08,11.48,51.5,1.34,5.1,10.13,43
Layton,367.17,27.08,11.27,0.35,10.26,13.05,33
Warner Robins,247.0,4.41,54.36,3.87,3.51,6.74,46
Lafayette,290.39,12.68,30.04,2.95,16.04,19.61,51
Brownsville,420.57,17.65,44.7,7.99,15.66,18.85,50
Allen,377.18,30.16,22.71,4.47,13.68,16.51,44
Davie,203.61,0.85,81.54,0.21,2.82,7.08,116
Alhambra,387.19,33.59,11.98,1.62,7.61,16.66,41
Victoria,330.45,19.36,36.12,3.52,3.04,4.28,30
Hartford,453.95,38.04,52.21,7.33,19.19,25.11,57
Brockton,303.75,9.94,78.68,3.55,15.09,18.47,109
Ames,243.66,9.68,52.21,0.97,1.81,3.96,44
Trenton,363.83,24.68,55.08,6.32,9.21,14.07,46
Davis,290.39,6.86,34.33,0.16,4.63,5.1,29
Sunrise,203.61,0.85,81.54,0.21,2.82,7.08,116
Odessa,250.34,5.36,57.94,3.28,1.14,1.37,49
Olathe,250.34,3.3,65.09,0.47,1.28,1.83,69
Pharr,494.0,17.65,43.63,5.13,22.0,25.23,63
Dothan,230.31,1.13,57.22,0.29,3.02,5.43,48
Rochester,240.33,4.71,80.11,1.8,4.63,5.22,112
Davenport,240.33,2.55,65.09,0.44,0.5,0.66,69
Round Rock,250.34,3.38,55.79,0.63,19.69,20.87,58
Glendale,600.82,47.3,3.93,3.4,17.58,33.98,59
San Juan,186.92,0.25,50.07,0.42,1.19,3.95,42
Madison,240.33,2.27,63.66,1.57,0.5,0.85,64
Everett,500.68,31.87,2.41,1.74,7.78,10.23,39
Milpitas,447.27,33.59,0.48,1.15,9.51,13.9,41
Albany,413.9,18.17,47.92,6.91,22.42,25.69,64
New Britain,155.21,0.03,9.21,6.62,9.27,10.55,30
McAllen,387.19,10.97,50.07,4.77,20.33,23.52,59
Missouri City,403.88,19.36,37.55,2.03,12.0,14.97,38
High Point,263.69,6.6,75.82,1.04,4.06,9.3,102
Kissimmee,220.3,3.21,77.96,0.59,2.1,3.29,107
Youngs,267.03,5.23,68.67,2.12,6.05,12.1,80
Hammond,307.08,18.51,47.21,7.75,3.33,5.61,40
Elgin,236.99,2.21,68.67,0.47,0.5,0.89,80
Boise,357.15,15.08,31.11,0.17,10.18,15.97,33
Passaic,363.83,25.02,49.35,5.31,11.17,17.83,41
Lawrence,247.0,2.38,66.52,2.59,1.44,1.75,73
East Orange,413.9,33.24,40.41,8.58,12.23,19.46,41
Houston,594.14,35.99,22.71,5.6,19.48,24.07,58
Alameda,554.09,41.13,0.09,3.93,15.16,20.72,51
Round Rock,250.34,3.38,55.79,0.63,19.69,20.87,58
Columbia,233.65,1.56,67.23,0.12,2.44,6.73,75
Arlington Heights,250.34,4.16,67.95,0.54,0.8,1.48,77
Waco,283.72,5.44,51.5,1.71,20.18,21.34,59
Oklahoma City,263.69,5.66,42.56,0.95,7.85,8.56,36
Scranton,303.75,7.71,65.09,2.86,9.24,13.34,69
Des Moines,253.68,3.0,60.08,0.31,0.79,1.3,53
South Gate,1148.22,64.43,1.88,7.75,40.18,57.19,99
Appleton,240.33,1.18,69.38,0.16,0.5,0.62,82
Rochester,240.33,4.71,80.11,1.8,4.63,5.22,112
San Ramon,203.61,2.06,57.22,0.07,0.71,1.44,48
Bend,280.38,6.17,64.37,0.02,9.48,9.95,66
Longview,247.0,3.6,47.92,0.25,3.59,4.16,40
Ellicott City,337.12,20.39,54.36,3.61,7.46,13.26,46
West Valley City,640.87,57.58,8.05,5.36,17.59,24.25,71
Portsmouth,230.31,15.42,50.07,2.59,0.97,1.37,42
Mobile,247.0,4.03,57.22,1.54,3.31,4.78,48
Woodbury,383.85,23.99,32.19,6.91,5.36,6.91,29
Columbus,250.34,7.2,60.8,1.43,3.44,3.7,55
Durham,273.71,7.54,60.08,0.98,4.51,9.23,53
League City,453.95,25.36,33.62,5.25,14.68,19.65,47
Killeen,240.33,1.46,64.37,0.33,16.77,17.55,66
Arvada,380.52,19.54,24.32,0.25,6.23,10.73,24
Hoover,280.38,8.4,40.41,1.83,7.16,13.39,34
Folsom,297.07,14.57,7.51,0.12,1.86,4.66,18
Saint Petersburg,660.9,48.67,0.01,91.55,11.95,16.44,76
Flower Mound,343.8,17.65,33.26,1.48,16.71,18.96,52
Tulsa,267.03,9.68,31.47,1.94,9.64,10.62,31
Waco,283.72,5.44,51.5,1.71,20.18,21.34,59
Vallejo,280.38,8.23,36.48,0.25,4.45,5.39,30
Clearwater,216.96,1.59,75.1,1.33,3.69,7.35,100
Cranston,263.69,3.34,85.12,2.98,12.18,15.74,125
Redlands,290.39,14.91,41.84,0.46,3.7,6.47,35
Beaumont,270.37,21.76,12.7,3.67,22.8,24.47,64
Alafaya,226.97,5.91,81.54,0.75,1.65,2.67,116
Avondale,357.15,13.71,14.84,0.37,3.5,9.9,17
Glendale,600.82,47.3,3.93,3.4,17.58,33.98,59
Charlotte,283.72,7.54,42.92,2.56,6.6,12.46,36
Fayetteville,236.99,5.14,37.55,0.74,5.19,7.13,31
Fort Collins,267.03,7.97,36.48,0.18,1.98,3.06,30
Boca Raton,216.96,4.71,85.12,0.84,3.09,7.82,125
Richardson,387.19,31.19,21.64,5.01,13.77,17.04,44
Livonia,267.03,7.63,62.94,1.03,5.27,5.81,62
Tampa,240.33,5.23,73.67,1.36,3.27,5.5,95
Eau Claire,243.66,1.32,58.65,0.03,0.5,0.58,49
Aurora,250.34,2.96,66.52,0.57,1.27,1.86,73
Ellicott City,337.12,20.39,54.36,3.61,7.46,13.26,46
Beaverton,390.53,21.25,2.86,1.54,12.79,16.74,41
Virginia Beach,233.65,2.79,82.97,0.69,2.39,8.42,119
Stamford,487.33,44.55,41.84,10.97,19.58,27.63,58
Hemet,303.75,9.94,44.7,0.57,5.68,7.31,37
Jackson,283.72,10.45,15.56,0.59,6.2,8.79,20
Passaic,363.83,25.02,49.35,5.31,11.17,17.83,41
Bellevue,620.84,30.16,0.05,2.18,17.23,25.29,53
Gresham,674.25,35.3,0.05,2.47,15.54,19.23,50
Wyoming,247.0,1.63,65.09,0.12,0.84,0.97,69
Palmdale,397.21,24.33,25.03,0.43,13.37,19.3,43
Saint Joseph,233.65,7.2,72.96,2.21,1.27,3.87,93
Thornton,507.36,28.1,8.67,0.78,10.79,15.4,35
Dearborn,287.06,13.37,57.94,2.18,5.84,6.74,49
Toledo,317.1,18.51,17.17,0.19,7.13,10.4,23
Richmond,333.79,16.62,31.11,0.86,5.97,10.21,26
Colorado Springs,195.27,1.03,57.94,0.09,1.5,3.48,49
Akron,260.35,6.08,62.94,0.79,5.49,6.01,62
Gaithersburg,323.77,16.11,52.21,3.01,6.86,12.25,44
Victorville,367.17,16.28,29.33,0.47,8.65,21.38,28
Roseville,310.42,13.54,3.49,0.17,2.89,7.43,16
Frederick,253.68,3.98,65.8,2.0,6.18,9.63,71
South San Francisco,447.27,45.24,5.45,5.96,12.12,14.35,56
Brockton,303.75,9.94,78.68,3.55,15.09,18.47,109
Fishers,260.35,5.66,57.22,1.36,7.34,7.9,48
Victoria,330.45,19.36,36.12,3.52,3.04,4.28,30
Des Moines,253.68,3.0,60.08,0.31,0.79,1.3,53
Pasco,400.54,21.25,12.7,0.29,14.08,15.22,45
Santa Maria,574.11,5.31,11.09,0.56,8.57,9.04,27
Bolingbrook,263.69,5.57,62.94,1.13,1.52,2.37,62
Boulder,195.27,1.37,62.23,0.21,1.16,2.7,60
Bloomington,247.0,4.54,56.51,1.61,6.98,7.52,47
Palm Bay,210.29,1.31,87.98,0.26,1.76,3.8,132
Henderson,413.9,40.1,17.35,2.41,21.35,38.64,61
The Villages,223.64,2.27,77.96,2.12,3.3,5.66,107
Oxnard,407.22,21.25,5.19,1.94,13.89,17.65,45
West Valley City,640.87,57.58,8.05,5.36,17.59,24.25,71
Appleton,240.33,1.18,69.38,0.16,0.5,0.62,82
Gastonia,280.38,5.48,50.07,2.5,6.95,12.56,42
Raleigh,307.08,11.48,51.5,1.34,5.1,10.13,43
Casas Adobes,427.25,16.62,28.61,1.01,12.23,27.21,39
Bloomington,247.0,4.54,56.51,1.61,6.98,7.52,47
Deltona,213.62,1.21,82.97,0.14,1.3,2.2,119
Fayetteville,236.99,5.14,37.55,0.74,5.19,7.13,31
New Braunfels,273.71,10.28,58.65,2.18,17.94,19.2,55
North Charleston,223.64,2.74,73.67,5.66,2.08,2.99,95
Carrollton,370.5,24.33,31.11,3.01,16.54,19.7,52
Woodbury,383.85,23.99,32.19,6.91,5.36,6.91,29
Merced,260.35,8.48,5.23,0.04,1.69,2.93,10
Greenville,233.65,1.69,78.68,0.72,3.09,6.57,109
Fort Smith,397.21,21.42,3.67,1.07,11.25,14.13,36
Salt Lake City,640.87,57.58,8.05,5.36,17.59,24.25,71
Westminster,310.42,53.47,5.45,13.95,5.27,6.66,66
Columbia,233.65,1.56,67.23,0.12,2.44,6.73,75
Yonkers,473.98,42.84,33.98,10.01,15.85,24.06,53
Sandy,640.87,45.24,7.33,3.43,22.37,27.84,63
Lincoln,247.0,3.0,62.94,3.61,1.27,1.56,62
Bayonne,220.3,0.66,86.55,0.36,0.5,1.47,128
Homestead,198.6,0.27,70.81,0.1,2.58,6.9,86
Jackson,283.72,10.45,15.56,0.59,6.2,8.79,20
Tucson,427.25,16.62,28.61,1.01,12.23,27.21,39
Waukegan,243.66,3.0,69.38,0.29,0.5,1.04,82
Topeka,240.33,1.65,68.67,0.42,1.12,1.35,80
Charleston,233.65,3.77,76.53,5.9,2.3,3.35,103
Camarillo,230.31,4.28,49.35,0.22,2.16,3.23,41
North Charleston,223.64,2.74,73.67,5.66,2.08,2.99,95
Kirkland,620.84,30.16,0.05,2.18,17.23,25.29,53
Richmond,333.79,16.62,31.11,0.86,5.97,10.21,26
Clarksville,250.34,6.08,53.64,5.25,6.55,7.37,45
Franklin,250.34,4.54,51.5,1.01,6.85,8.34,43
Lafayette,290.39,12.68,30.04,2.95,16.04,19.61,51
Santa Fe,216.96,3.21,43.27,0.54,3.45,7.26,36
Little Rock,236.99,3.77,49.35,0.8,5.74,6.62,41
Elizabeth,330.45,19.71,55.79,4.41,9.44,14.96,47
Norfolk,413.9,37.7,40.77,2.03,6.79,14.38,47
Springfield,270.37,3.26,52.93,4.23,6.65,8.48,44
Plano,377.18,30.16,22.71,4.47,13.68,16.51,44
Boston,317.1,11.48,74.39,4.05,15.56,18.68,98
Johns Creek,247.0,2.74,63.66,0.26,3.85,8.22,64
Lynn,367.17,19.54,62.23,5.31,17.93,21.46,60
Tallahassee,230.31,1.21,52.21,0.15,2.25,5.22,44
Cambridge,226.97,8.14,52.21,0.9,1.09,1.84,44
Skokie,257.02,7.54,65.8,3.87,1.0,1.86,71
Carmichael,267.03,1.31,46.49,2.24,11.73,26.85,39
San Antonio,280.38,7.97,54.36,1.19,17.88,19.15,54
New York,413.9,33.24,40.41,8.58,12.23,19.46,41
Simi Valley,243.66,4.28,31.11,0.28,5.16,7.26,26
Winston-Salem,267.03,4.2,76.53,0.75,5.06,10.64,103
Rock Hill,290.39,9.85,44.7,2.21,6.03,11.58,37
Frisco,363.83,27.76,26.46,2.92,14.67,17.4,47
Modesto,273.71,8.82,2.62,0.13,2.27,5.33,11
Dallas,330.45,19.36,32.19,3.07,12.9,15.56,41
Springfield,270.37,3.26,52.93,4.23,6.65,8.48,44
Portland,487.33,22.62,0.09,2.09,10.13,13.45,32
Baldwin Park,320.44,25.02,30.76,0.98,5.8,11.16,31
Laredo,383.85,7.97,58.65,3.07,21.48,22.83,62
Hesperia,367.17,16.28,29.33,0.47,8.65,21.38,28
East Los Angeles,387.19,33.59,11.98,1.62,7.61,16.66,41
Cary,307.08,11.48,51.5,1.34,5.1,10.13,43
Whittier,947.95,44.55,1.65,4.95,26.92,37.83,73
Parma,317.1,8.91,57.22,0.57,2.44,3.35,48
Eagan,387.19,24.33,31.83,6.56,5.37,6.92,30
Lauderhill,203.61,0.85,81.54,0.21,2.82,7.08,116
Pine Hills,213.62,1.93,81.54,0.37,1.69,2.62,116
Huntington Beach,907.9,48.67,2.55,3.28,33.06,40.78,85
Elizabeth,330.45,19.71,55.79,4.41,9.44,14.96,47
Carmel,260.35,5.66,57.22,1.36,7.34,7.9,48
Bakersfield,427.25,26.39,7.15,1.1,9.83,13.77,32
Bellingham,487.33,27.76,1.1,1.36,6.95,8.51,34
Lansing,263.69,4.2,60.8,0.27,5.45,5.6,55
Waukegan,243.66,3.0,69.38,0.29,0.5,1.04,82
Saint Cloud,360.49,27.42,45.06,3.4,6.11,8.36,38
Delray Beach,216.96,6.68,80.82,0.97,2.88,7.01,114
Albany,413.9,18.17,47.92,6.91,22.42,25.69,64
New York,413.9,33.24,40.41,8.58,12.23,19.46,41
